Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_ring_pip,0.00124281044061491,-0.0110585126142759,0.00864414643558225,0,0,0,0.00574474657698306,5.22557556206245E-07,7.92367889635411E-08,2.23194341433631E-10,4.52303571562805E-07,-2.01137075433801E-09,5.21859642587957E-07,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_ring_pip.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_ring_pip.STL,,零件4^Aa064食指总成_1-3,r_2,r_a_2,right_ring_pip_joint,revolute,0.011359,0.042391,0.0009001,0,0,3.1416,right_ring_mcp,0,0,-1,1,2,0,1.4835299,,,,,,,,
right_ring_dip,0.00199307958784926,0.0150615704086284,0.00810244574416518,0,0,0,0.0075189518145346,6.80977230944785E-07,-1.14917000909466E-07,1.99878842848452E-11,2.4269526773542E-07,1.11456423272019E-10,6.38483935430501E-07,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_ring_dip.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_ring_dip.STL,,零件5^Aa064无名指总成_1-1,r_3,r_a_3,right_ring_dip_joint,revolute,0,-0.018776,0.00035,0,0,3.1416,right_ring_pip,0,0,-1,1,2,0,1.568,,,,,,,,
right_ring_force_sensor,1.41911600598579E-05,-0.00565473148586697,-0.00560250482685326,0,0,0,0.000820048134937872,3.88212712278784E-08,-1.00087150299833E-11,7.88213331959318E-13,1.76468888405205E-08,-9.00717776500754E-09,4.91658446125349E-08,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_ring_force_sensor.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_ring_force_sensor.STL,,Aa指尖触觉002020_1-2,r_f_1,,right_ring_force_sensor_joint,fixed,0.014134336199563,0.0290944849058043,0.00809978577346985,1.88699078647135,1.5705209595372,1.97686869271105,right_ring_dip,0,0,0,,,,,,,,,,,,
right_ring_tip,2.38486403832117E-06,0.000209401830919043,-0.000234327502330628,0,0,0,2.30719425461751E-06,6.8185226836219E-13,-1.1377107800333E-14,-1.32797205654675E-14,9.6275187937845E-13,1.21151097073795E-13,1.22488930686394E-12,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_ring_tip.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_ring_tip.STL,,,,,right_ring_tip_joint,fixed,0,0.00792351475286585,-0.00365714249875679,1.27029262558354,0.00822125473822143,-3.11560700255448,right_ring_force_sensor,0,0,0,,,,,,,,,,,,
right_pinky_mcp,-0.00113237517036673,0.0238703719654643,0.00952607690021043,0,0,0,0.012684122738921,1.41417828556163E-06,-1.66684472491451E-07,5.54064935655704E-08,7.23300824981208E-07,8.86434833949928E-09,1.82688746134013E-06,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_pinky_mcp.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_pinky_mcp.STL,,Aa064无名指总成-1,p_1,p_a_1,right_pinky_mcp_joint,revolute,0.0111,-0.027151,0.15225,1.5708,0,0,right_hand_palm,0,0,-1,1,2,0,1.3089969,,,,,,,,
right_pinky_pip,-0.00124281020514839,0.0110585126995084,0.00864414647075187,0,0,0,0.00574474647431049,5.22557555817309E-07,7.92367963163774E-08,-2.23189964081961E-10,4.52303556688054E-07,2.0113713306541E-09,5.2185962360005E-07,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_pinky_pip.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_pinky_pip.STL,,零件4^Aa064食指总成_1-4,p_2,p_a_2,right_pinky_pip_joint,revolute,0.011359,0.042391,0.0009001,0,0,0,right_pinky_mcp,0,0,-1,1,2,0,1.4835299,,,,,,,,
right_pinky_dip,0.00222557357243311,0.0149284752462205,0.008099201538517,0,0,0,0.00639879074245339,7.46378838867789E-07,-1.04535574404796E-07,1.57798577670713E-11,2.10978956906071E-07,-4.53277881428032E-11,7.03064825118522E-07,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_pinky_dip.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_pinky_dip.STL,,零件1^Aa064小指总成_1-1,p_3,p_a_3,right_pinky_dip_joint,revolute,0,0.018776,0.00035,0,0,0,right_pinky_pip,0,0,-1,1,2,0,1.568,,,,,,,,
right_pinky_force_sensor,1.41971406114605E-05,-0.00565473193569874,-0.00560250599037111,0,0,0,0.00082004743069523,3.88212749831891E-08,-1.00083985424547E-11,7.9011015546399E-13,1.76468669126524E-08,-9.00717770781056E-09,4.91658227282361E-08,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_pinky_force_sensor.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_pinky_force_sensor.STL,,Aa指尖触觉002020_1-1,p_f_1,,right_pinky_force_sensor_joint,fixed,0.013925,0.028117,0.0080998,1.887,1.5705,1.9769,right_pinky_dip,0,0,0,,,,,,,,,,,,
right_pinky_tip,3.66896549094942E-06,0.000209422861192674,-0.000234292118133222,0,0,0,2.30719425461738E-06,6.81723344030405E-13,-9.65201476737687E-15,-1.25388520278676E-14,9.62839871447068E-13,1.2118595624332E-13,1.22493023912686E-12,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_pinky_tip.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_pinky_tip.STL,,,,,right_pinky_tip_joint,fixed,0,0.0079235,-0.0036571,1.2701,0.002365,-3.1138,right_pinky_force_sensor,0,0,0,,,,,,,,,,,,
right_palm_force_sensor,0.000380261192012399,0.00147915092716762,-0.00345600892819492,0,0,0,0.00510273517281155,4.17831133657834E-07,-2.11883543536805E-08,9.21527950541965E-09,1.54124870129943E-06,9.85909744226522E-09,1.92333269744531E-06,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_palm_force_sensor.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_palm_force_sensor.STL,,掌心触觉_1-1,right_palm_force_sensor,,right_palm_force_sensor_joint,fixed,0.0212343518424586,0.000148200599369062,0.112104680934852,1.53156563052615,-0.00391420494901116,1.57094996107155,right_hand_palm,0,0,0,0,0,0,0,,,,,,,,
right_hand_casing,-0.0146497431487888,5.71244872097157E-05,0.064455836781081,0,0,0,0.0216316636341055,5.11687593124072E-05,9.93725728352238E-08,-1.93800589384209E-06,3.14212512089774E-05,1.87882390177664E-07,2.35188945509006E-05,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_hand_casing.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_hand_casing.STL,,064-新手背2026.02.10.stp-1,right_palm_base,,right_hand_casing_joint,fixed,0,0,0.03,0,0,0,right_hand_palm,0,0,0,0,0,0,0,,,,,,,,
