Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_middle_yaw,-5.55111512312578E-17,2.77555756156289E-17,-0.0045,0,0,0,0.00153498446842143,4.00076216143907E-09,2.21772702943053E-23,1.65033014588035E-23,4.61099104658359E-08,-9.27198314573736E-24,4.79547455160275E-08,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_middle_yaw.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_middle_yaw.STL,,064轴承安装架99064001-0428-2,m_1,m_a_1,left_middle_yaw_joint,revolute,0.015599999999991,-0.00749870299138,0.12225370411453,1.5707963267949,0,1.5707963267949,left_hand_palm,0,0,-1,1,2,-0.26118,0.26118,,,,,,,,
left_middle_mcp,-0.00111234923615128,0.0237468977201549,-0.0112260350232037,0,0,0,0.0128247682591922,1.46139424310524E-06,-1.66361852099635E-07,5.73065985064055E-08,7.30017884080383E-07,7.21330750084561E-09,1.87059701379061E-06,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_middle_mcp.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_middle_mcp.STL,,新版食指根部-2,m_2,m_2_a,left_middle_mcp_joint,revolute,-0.0114,0,-0.00449999999999999,3.14159265358979,-1.5707963267949,3.14,left_middle_yaw,0,0,-1,1,2,0,1.3089969,,,,,,,,
left_middle_pip,-0.00124281848220535,0.0110585329113455,-0.00864409284297657,0,0,0,0.00574475247131529,5.22558533277096E-07,7.92375131199205E-08,2.28312302045647E-10,4.52303906502522E-07,-2.01817923814176E-09,5.21861120526846E-07,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_middle_pip.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_middle_pip.STL,,镜向零件4^Aa064食指总成_1-6,m_3,m_a_3,left_middle_pip_joint,revolute,0.0113586250463492,0.0423909612924696,-0.00295009506429994,0,0,0,left_middle_mcp,0,0,-1,1,2,0,1.4835299,,,,,,,,
left_middle_dip,0.00245138191113572,0.0159281060922091,-0.00810127731882648,0,0,0,0.0079029175295285,9.62102351941741E-07,-1.37318047992612E-07,-7.0101577703205E-11,2.74986600324015E-07,1.75649529370239E-11,9.15692422016723E-07,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_middle_dip.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_middle_dip.STL,,镜向零件3^Aa064中指总成_1-2,m_4,m_a_4,left_middle_dip_joint,revolute,0,0.0187762475093949,-0.00034999999999985,0,0,0,left_middle_pip,0,0,-1,1,2,0,1.568,,,,,,,,
left_middle_force_sensor,-1.75006949281187E-05,-0.00567414453298418,-0.00560736586988591,0,0,0,0.000853140360017414,4.02752491515932E-08,5.80065378435178E-12,-4.9813424541703E-12,1.83848096763234E-08,-9.36557377084035E-09,5.10518130208684E-08,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_middle_force_sensor.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_middle_force_sensor.STL,,镜向Aa指尖触觉002020_1-7,m_f_1,Axis_left_middle_force_sensor_joint,left_middle_force_sensor_joint,fixed,0.014552683946107,0.0310502445631073,-0.00809978577346998,-1.35354409812012,1.57052831054583,-1.2636658505645,left_middle_dip,0,0,0,,,,,,,,,,,,
left_middle_tip,3.92696708484408E-10,-0.000551648508906988,0.00029508693168772,0,0,0,5.0474963643004E-06,2.07657398454607E-12,8.32773891252232E-19,-9.38900840866529E-19,2.79325696280042E-12,1.30702837883659E-13,2.62609367683221E-12,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_middle_tip.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_middle_tip.STL,,零件5^064总装左手_1-1,m_f_d,Axis_left_middle_tip_joint,left_middle_tip_joint,fixed,0,0.00792350817017129,-0.00365713187739825,0.089878255115316,5.77701674826052E-05,0.000261716101748116,left_middle_force_sensor,0,0,0,,,,,,,,,,,,
left_ring_mcp,-0.00113237523036049,0.0238703726201048,-0.00947392305307823,0,0,0,0.0126841218438316,1.41417812177369E-06,-1.66684462624428E-07,5.54064908753936E-08,7.23300804105822E-07,8.8643454980411E-09,1.82688728223671E-06,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_ring_mcp.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_ring_mcp.STL,,Aa064无名指总成-2,r_1,r_1_a,left_ring_mcp_joint,revolute,0.011099999999991,0.0053512970086193,0.1222536996299,1.5707963267949,0,0,left_hand_palm,0,0,-1,1,2,0,1.3089969,,,,,,,,
left_ring_pip,-0.00124281857647931,0.0110585345968191,-0.00864409289198054,0,0,0,0.0057447524894393,5.22558529597071E-07,7.92375076324553E-08,2.28308422172232E-10,4.52303914710697E-07,-2.018179333337E-09,5.21861126708859E-07,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_ring_pip.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_ring_pip.STL,,镜向零件4^Aa064食指总成_1-5,r_2,r_a_2,left_ring_pip_joint,revolute,0.0113586250463492,0.0423909639832497,-0.00120009506430058,0,0,0,left_ring_mcp,0,0,-1,1,2,0,1.4835299,,,,,,,,
left_ring_dip,0.00198607521299253,0.0150412976629759,-0.00810241146434543,0,0,0,0.00751172051940798,6.78670920962971E-07,-1.13978743916171E-07,-2.11084029959273E-11,2.42308252802919E-07,-1.01420972476189E-10,6.35796981241822E-07,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_ring_dip.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_ring_dip.STL,,镜向零件5^Aa064无名指总成_1-2,r_3,r_a_3,left_ring_dip_joint,revolute,0,0.0187762493032451,-0.000349999999999961,0,0,0,left_ring_pip,0,0,-1,1,2,0,1.568,,,,,,,,
left_ring_force_sensor,-1.75010492992345E-05,-0.00567414470558052,-0.00560736555514331,0,0,0,0.00085314044868114,4.02752508916545E-08,5.79981133254341E-12,-4.98081381382411E-12,1.83848106968955E-08,-9.36557408373766E-09,5.1051815886833E-08,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_ring_force_sensor.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_ring_force_sensor.STL,,镜向Aa指尖触觉002020_1-8,r_f_1,Axis_left_ring_force_sensor_joint,left_ring_force_sensor_joint,fixed,0.0141343261630978,0.029094489781598,-0.00809978577346993,-1.35354409806917,1.57052831054541,-1.26366585051356,left_ring_dip,0,0,0,,,,,,,,,,,,
left_ring_tip,-6.24589678588361E-08,-0.000484065190161975,0.000200009196404541,0,0,0,5.43100715839707E-06,2.14951614296468E-12,-2.33154582935635E-16,5.12091736722794E-18,2.99644968745411E-12,1.07881796929031E-13,2.77229172990861E-12,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_ring_tip.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_ring_tip.STL,,零件7^064总装左手_1-1,r_f_d,Axis_left_ring_tip_joint,left_ring_tip_joint,fixed,0,0.00792350817016974,-0.00365713187739923,0.0898782551153027,5.77701674823965E-05,0.000261716101688065,left_ring_force_sensor,0,0,0,,,,,,,,,,,,
left_pinky_mcp,-0.00113237521338257,0.0238703725773544,-0.00947392302327424,0,0,0,0.0126841218497192,1.41417809756429E-06,-1.66684459613699E-07,5.54064911793657E-08,7.2330080734736E-07,8.86434018167197E-09,1.82688725792108E-06,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_pinky_mcp.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_pinky_mcp.STL,,Aa064无名指总成-1,p_1,p_1_a,left_pinky_mcp_joint,revolute,0.011099999999991,0.0268512970086193,0.1222536996299,1.5707963267949,0,0,left_hand_palm,0,0,-1,1,2,0,1.3089969,,,,,,,,
left_pinky_pip,-0.00124281857638221,0.0110585373001995,-0.00864409290006793,0,0,0,0.00574475248135874,5.22558528595477E-07,7.92375076462057E-08,2.28308396366371E-10,4.52303914334064E-07,-2.01817977612447E-09,5.2186112595392E-07,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_pinky_pip.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_pinky_pip.STL,,镜向零件4^Aa064食指总成_1-8,p_2,p_a_2,left_pinky_pip_joint,revolute,0.0113586250463492,0.0423909612924697,-0.00120009506430033,0,0,0,left_pinky_mcp,0,0,-1,1,2,0,1.4835299,,,,,,,,
left_pinky_dip,0.00221689596657801,0.0149021535060817,-0.00809966803895043,0,0,0,0.00639045159900255,7.42902057876162E-07,-1.03370489666142E-07,-2.19173824127695E-11,2.1058446019739E-07,4.85419878055432E-11,6.99202011936294E-07,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_pinky_dip.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_pinky_dip.STL,,镜向零件1^Aa064小指总成_1-2,p_3,p_a_3,left_pinky_dip_joint,revolute,0,0.0187762519940251,-0.000350000000000211,0,0,0,left_pinky_pip,0,0,-1,1,2,0,1.568,,,,,,,,
left_pinky_force_sensor,-1.74947366537725E-05,-0.00567414627508322,-0.00560736725612252,0,0,0,0.000853139561957583,4.0275244070714E-08,5.79920918725735E-12,-4.9797335095131E-12,1.83847865864961E-08,-9.3655709586061E-09,5.10517829028173E-08,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_pinky_force_sensor.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_pinky_force_sensor.STL,,镜向Aa指尖触觉002020_1-10,p_f_1,Axis_left_pinky_force_sensor_joint,left_pinky_force_sensor_joint,fixed,0.0139251472716712,0.0281166123908269,-0.0080997857734699,-1.35354409806816,1.57052831054583,-1.26366585051254,left_pinky_dip,0,0,0,,,,,,,,,,,,
left_pinky_tip,-2.08507116294943E-08,-0.000463389272498588,0.00014336755146193,0,0,0,5.85046128012244E-06,2.43508804553566E-12,-8.16661494932045E-17,4.38638056956868E-18,3.14545689460701E-12,1.43256758435204E-13,3.18539947088386E-12,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_pinky_tip.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_pinky_tip.STL,,零件8^064总装左手_1-1,p_f_d,Axis_left_pinky_tip_joint,left_pinky_tip_joint,fixed,0,0.00792350817016971,-0.00365713187739942,0.0898782551153141,5.77701674826447E-05,0.000261716101688065,left_pinky_force_sensor,0,0,0,,,,,,,,,,,,
left_palm_force_sensor,-0.000374440789800368,0.00134393515302206,-0.00351143662906006,0,0,0,0.00510271462865048,4.18013500290454E-07,2.52079697635943E-08,-1.01707515016744E-08,1.54245064718266E-06,2.48449513186075E-08,1.92199013822285E-06,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_palm_force_sensor.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_palm_force_sensor.STL,,镜向掌心触觉_1-2,left_plam_force_sensor,Axis_left_palm_force_sensor_joint,left_palm_force_sensor_joint,fixed,0.02023435184137,-0.000253110401414014,0.0822996886868668,1.5707963267949,0,1.5707963267949,left_hand_palm,0,0,0,0,0,0,0,,,,,,,,
left_hand_casing,-0.0146444318359191,-4.04089776556149E-05,0.0644559462929416,0,0,0,0.0216411640851708,5.11841694403672E-05,-1.01712440159859E-07,-1.93997848755177E-06,3.142620749536E-05,-1.83478313106E-07,2.35326873680659E-05,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_hand_casing.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_hand_casing.STL,,LL镜向064-新手背2026.02.10.stp-1,left_hand_palm,Axis_left_hand_casing_joint,left_hand_casing_joint,fixed,0,0,0,0,0,0,left_hand_palm,0,0,0,0,0,0,0,,,,,,,,
